date,nav_total,units_outstanding,nav_per_unit,sale_price,repurchase_price,collected_at
2025-01-23,14226782669,140184508.8,101.4861,101.4861,101.4861,2025-11-12T05:14:14.492Z
2025-01-24,14233750049,140214168,101.5143,101.5143,101.5143,2025-11-12T05:14:14.490Z
2025-01-27,14244320481,140201362,101.599,101.599,101.599,2025-11-12T05:14:14.488Z
2025-01-28,14488900934,142569495.1,101.6269,101.6269,101.6269,2025-11-12T05:14:14.486Z
2025-01-29,14496341668,142604446.5,101.6542,101.6542,101.6542,2025-11-12T05:14:14.484Z
2025-01-30,14414442355,141758441.2,101.6831,101.6831,101.6831,2025-11-12T05:14:14.482Z
2025-01-31,14419714529,141760408.1,101.7189,101.7189,101.7189,2025-11-12T05:14:14.480Z
2025-02-03,14541936962,142840962.5,101.8051,101.8051,101.8051,2025-11-12T05:14:14.478Z
2025-02-04,14571595354,143091932.3,101.8338,101.8338,101.8338,2025-11-12T05:14:14.476Z
2025-02-05,15183305756,149057912.8,101.8618,101.8618,101.8618,2025-11-12T05:14:14.474Z
2025-02-06,15226413086,149440785,101.8893,101.8893,101.8893,2025-11-12T05:14:14.471Z
2025-02-07,15367118931,150779303.4,101.918,101.918,101.918,2025-11-12T05:14:14.470Z
2025-02-10,15380125462,150779303.4,102.0042,102.0042,102.0042,2025-11-12T05:14:14.468Z
2025-02-11,15433259607,151252512.7,102.0364,102.0364,102.0364,2025-11-12T05:14:14.466Z
2025-02-12,15433300257,151205183.7,102.0686,102.0686,102.0686,2025-11-12T05:14:14.463Z
2025-02-13,15438368749,151207143.1,102.1008,102.1008,102.1008,2025-11-12T05:14:14.461Z
2025-02-14,15545197473,152206156,102.1325,102.1325,102.1325,2025-11-12T05:14:14.460Z
2025-02-17,15539437020,152004457.2,102.2301,102.2301,102.2301,2025-11-12T05:14:14.458Z
2025-02-18,15518740611,151753713.6,102.2627,102.2627,102.2627,2025-11-12T05:14:14.456Z
2025-02-19,15554876035,152058810.3,102.2951,102.2951,102.2951,2025-11-12T05:14:14.455Z
2025-02-20,15592081529,152374169.6,102.3276,102.3276,102.3276,2025-11-12T05:14:14.452Z
2025-02-21,15699804888,153378454,102.3599,102.3599,102.3599,2025-11-12T05:14:14.451Z
2025-02-24,15891783689,155108770.1,102.4557,102.4557,102.4557,2025-11-12T05:14:14.449Z
2025-02-25,16019785910,156309386.1,102.4877,102.4877,102.4877,2025-11-12T05:14:14.447Z
2025-02-26,16099475308,157038254.2,102.5194,102.5194,102.5194,2025-11-12T05:14:14.445Z
2025-02-27,16141409483,157398488.8,102.5512,102.5512,102.5512,2025-11-12T05:14:14.443Z
2025-02-28,16248181306,158392137.3,102.582,102.582,102.582,2025-11-12T05:14:14.441Z
2025-03-03,16302438972,158771034.2,102.6789,102.678924,102.678924,2025-11-12T05:14:14.439Z
2025-03-04,16808106376,163645452.3,102.7105,102.7105,102.7105,2025-11-12T05:14:14.436Z
2025-03-05,16929458793,164775813.8,102.7424,102.7424,102.7424,2025-11-12T05:14:14.434Z
2025-03-06,16963238045,165054277.3,102.7737,102.7737,102.7737,2025-11-12T05:14:14.432Z
2025-03-07,16973723585,165103943.8,102.8063,102.8063,102.8063,2025-11-12T05:14:14.430Z
2025-03-10,16971364836,164923993.8,102.9042,102.9042,102.9042,2025-11-12T05:14:14.428Z
2025-03-11,16974353928,164900787.7,102.9368,102.9368,102.9368,2025-11-12T05:14:14.426Z
2025-03-12,17005828718,165154341.4,102.9693,102.9693,102.9693,2025-11-12T05:14:14.424Z
2025-03-13,17066220440,165688481.1,103.0019,103.0019,103.0019,2025-11-12T05:14:14.422Z
2025-03-14,17067018035,165644280.2,103.0342,103.0342,103.0342,2025-11-12T05:14:14.419Z
2025-03-17,18746736724,181789412.2,103.1234,103.1234,103.1234,2025-11-12T05:14:14.417Z
2025-03-18,18539187927,179723025.8,103.1542,103.1542,103.1542,2025-11-12T05:14:14.415Z
2025-03-19,18234637287,176716685.1,103.1857,103.1857,103.1857,2025-11-12T05:14:14.413Z
2025-03-20,18247042611,176784524,103.2163,103.2163,103.2163,2025-11-12T05:14:14.410Z
2025-03-21,18276452818,177013170.1,103.2491,103.2491,103.2491,2025-11-12T05:14:14.409Z
2025-03-24,18521524965,179217063.1,103.3469,103.3469,103.3469,2025-11-12T05:14:14.407Z
2025-03-25,18542982844,179368107.8,103.3795,103.3795,103.3795,2025-11-12T05:14:14.405Z
2025-03-26,18485520384,178755897.4,103.4121,103.4121,103.4121,2025-11-12T05:14:14.404Z
2025-03-27,19187320423,185484779.8,103.4442,103.4442,103.4442,2025-11-12T05:14:14.402Z
2025-03-28,19142105840,184991759.7,103.4755,103.4755,103.4755,2025-11-12T05:14:14.401Z
2025-04-02,19187553923,185146482.4,103.6345,103.6345,103.6345,2025-11-12T05:14:14.399Z
2025-04-03,18940467783,182704961.2,103.667,103.667,103.667,2025-11-12T05:14:14.398Z
2025-04-04,18914504734,182398209.6,103.699,103.699,103.699,2025-11-12T05:14:14.396Z
2025-04-08,19024701399,183228497.6,103.8305,103.8305,103.8305,2025-11-12T05:14:14.395Z
2025-04-09,19054011072,183452768.7,103.8633,103.8633,103.8633,2025-11-12T05:14:14.393Z
2025-04-10,19383507756,186567054.3,103.8957,103.8957,103.8957,2025-11-12T05:14:14.392Z
2025-04-11,19229069987,185022216.9,103.9284,103.9284,103.9284,2025-11-12T05:14:14.390Z
2025-04-14,20152452697,193724657.8,104.0263,104.0263,104.0263,2025-11-12T05:14:14.389Z
2025-04-15,20157336144,193712693.5,104.0579,104.0579,104.0579,2025-11-12T05:14:14.388Z
2025-04-16,20374339606,195736566.7,104.0906,104.0906,104.0906,2025-11-12T05:14:14.386Z
2025-04-17,20395287756,195876473.9,104.1232,104.1232,104.1232,2025-11-12T05:14:14.384Z
2025-04-22,20552657705,197079478.1,104.2861,104.2861,104.2861,2025-11-12T05:14:14.383Z
2025-04-23,20963142782,200953769.1,104.3182,104.3182,104.3182,2025-11-12T05:14:14.381Z
2025-04-24,21009611255,201337211.2,104.3504,104.3504,104.3504,2025-11-12T05:14:14.380Z
2025-04-25,21023223219,201405730.3,104.3824,104.3824,104.3824,2025-11-12T05:14:14.379Z
2025-04-28,21320545042,204068269.5,104.4775,104.4775,104.4775,2025-11-12T05:14:14.377Z
2025-04-29,21740919862,208029283.7,104.5089,104.5089,104.5089,2025-11-12T05:14:14.376Z
2025-04-30,21803302995,208564357.6,104.5399,104.5399,104.5399,2025-11-12T05:14:14.374Z
2025-05-02,21863588999,209016885.5,104.602,104.602,104.602,2025-11-12T05:14:14.373Z
2025-05-05,21894215946,209111039.2,104.7014,104.7014,104.7014,2025-11-12T05:14:14.371Z
2025-05-06,22645925390,216223897.9,104.7337,104.7337,104.7337,2025-11-12T05:14:14.369Z
2025-05-07,21852755623,208584999.7,104.7667,104.7667,104.7667,2025-11-12T05:14:14.367Z
2025-05-08,22257883143,212386003.5,104.7992,104.7992,104.7992,2025-11-12T05:14:14.366Z
2025-05-09,22497686620,214607957.5,104.8316,104.8316,104.8316,2025-11-12T05:14:14.364Z
2025-05-12,22595137930,215338653.5,104.9284,104.9284,104.9284,2025-11-12T05:14:14.362Z
2025-05-13,22873969227,217929468.1,104.9604,104.9604,104.9604,2025-11-12T05:14:14.361Z
2025-05-14,23941253312,228030343.8,104.9915,104.9915,104.9915,2025-11-12T05:14:14.359Z
2025-05-15,23975493508,228288459.9,105.0228,105.0228,105.0228,2025-11-12T05:14:14.357Z
2025-05-16,24353313073,231817693.5,105.0537,105.0537,105.0537,2025-11-12T05:14:14.356Z
2025-05-19,23475066412,223255408.2,105.1489,105.1489,105.1489,2025-11-12T05:14:14.354Z
2025-05-20,24299840337,231031135.5,105.1799,105.1799,105.1799,2025-11-12T05:14:14.352Z
2025-05-21,24339717569,231341737.6,105.2111,105.2111,105.2111,2025-11-12T05:14:14.350Z
2025-05-22,24600078430,233751274.3,105.2404,105.2404,105.2404,2025-11-12T05:14:14.349Z
2025-05-23,24413796145,231908065.9,105.2736,105.2736,105.2736,2025-11-12T05:14:14.347Z
2025-05-26,24450300025,232035448.3,105.3731,105.3731,105.3731,2025-11-12T05:14:14.345Z
2025-05-27,24403964119,231522720.6,105.4063,105.4063,105.4063,2025-11-12T05:14:14.340Z
2025-05-28,24362366575,231056002.9,105.4392,105.4392,105.4392,2025-11-12T05:14:14.339Z
2025-05-29,24369762760,231052209.3,105.473,105.473,105.473,2025-11-12T05:14:14.338Z
2025-05-30,24377371897,231050502.7,105.5067,105.5067,105.5067,2025-11-12T05:14:14.336Z
2025-06-02,24439879688,231420530.3,105.6081,105.6081,105.6081,2025-11-12T05:14:14.335Z
2025-06-03,25502199618,241404489.2,105.641,105.641,105.641,2025-11-12T05:14:14.333Z
2025-06-04,25625606735,242496490,105.6741,105.6741,105.6741,2025-11-12T05:14:14.331Z
2025-06-05,25620227206,242369685.1,105.7072,105.7072,105.7072,2025-11-12T05:14:14.330Z
2025-06-06,25656138073,242634567.6,105.7398,105.7398,105.7398,2025-11-12T05:14:14.328Z
2025-06-09,26077668993,246384960.4,105.8412,105.8412,105.8412,2025-11-12T05:14:14.327Z
2025-06-10,26531963550,250600428.4,105.8736,105.8736,105.8736,2025-11-12T05:14:14.325Z
2025-06-11,26254045402,247895176.5,105.9079,105.9079,105.9079,2025-11-12T05:14:14.324Z
2025-06-12,26241183008,247693586.2,105.9421,105.9421,105.9421,2025-11-12T05:14:14.322Z
2025-06-13,26250062600,247697361.8,105.9764,105.9764,105.9764,2025-11-12T05:14:14.321Z
2025-06-16,26262144550,247570918.5,106.0793,106.0793,106.0793,2025-11-12T05:14:14.320Z
2025-06-17,26261968727,247489022.1,106.1137,106.1137,106.1137,2025-11-12T05:14:14.318Z
2025-06-18,26279439722,247573836.8,106.1479,106.1479,106.1479,2025-11-12T05:14:14.316Z
2025-06-19,26165700806,246422299.3,106.1824,106.1824,106.1824,2025-11-12T05:14:14.315Z
2025-06-20,26259328022,247223949.2,106.2168,106.2168,106.2168,2025-11-12T05:14:14.313Z
2025-06-23,26672003709,250867441.8,106.3191,106.3191,106.3191,2025-11-12T05:14:14.312Z
2025-06-24,26683182508,250893102.5,106.3528,106.3528,106.3528,2025-11-12T05:14:14.310Z
2025-06-25,27495047641,258444364.6,106.3867,106.3867,106.3867,2025-11-12T05:14:14.308Z
2025-06-26,27567453523,259043525,106.4202,106.4202,106.4202,2025-11-12T05:14:14.307Z
2025-06-27,27692466451,260134897.6,106.4543,106.4543,106.4543,2025-11-12T05:14:14.305Z
2025-06-30,27723176041,260172472.4,106.5569,106.5569,106.5569,2025-11-12T05:14:14.304Z
2025-07-01,28813397445,270319162.5,106.5903,106.5903,106.5903,2025-11-12T05:14:14.302Z
2025-07-02,28621903709,268438265.5,106.6238,106.6238,106.6238,2025-11-12T05:14:14.301Z
2025-07-03,28640968081,268532756.6,106.6573,106.6573,106.6573,2025-11-12T05:14:14.299Z
2025-07-04,28657410302,268602606.6,106.6907,106.6907,106.6907,2025-11-12T05:14:14.298Z
2025-07-08,29440999774,275606963.4,106.8224,106.8224,106.8224,2025-11-12T05:14:14.296Z
2025-07-09,29455263890,275655438.9,106.8554,106.8554,106.8554,2025-11-12T05:14:14.295Z
2025-07-10,29445307015,275477378.4,106.8883,106.8883,106.8883,2025-11-12T05:14:14.294Z
2025-07-11,29373691071,274722384.6,106.9214,106.9214,106.9214,2025-11-12T05:14:14.292Z
2025-07-14,29361066947,274349493.7,107.0207,107.0207,107.0207,2025-11-12T05:14:14.291Z
2025-07-15,29377512219,274418312.8,107.0538,107.0538,107.0538,2025-11-12T05:14:14.289Z
2025-07-16,29400631013,274549479.2,107.0868,107.0868,107.0868,2025-11-12T05:14:14.288Z
2025-07-17,30199567600,281927511.3,107.1182,107.1182,107.1182,2025-11-12T05:14:14.286Z
2025-07-18,30334296342,283096313.6,107.1519,107.1519,107.1519,2025-11-12T05:14:14.285Z
2025-07-21,30282268411,282344091,107.2531,107.2531,107.2531,2025-11-12T05:14:14.284Z
2025-07-22,30341156556,282804283.2,107.2868,107.2868,107.2868,2025-11-12T05:14:14.282Z
2025-07-23,31196740153,290689262,107.3199,107.3199,107.3199,2025-11-12T05:14:14.280Z
2025-07-24,31354151322,292065777,107.353,107.353,107.353,2025-11-12T05:14:14.279Z
2025-07-25,31463809598,292996817.2,107.3862,107.3862,107.3862,2025-11-12T05:14:14.274Z
2025-07-28,31505241756,293111289.5,107.4856,107.4856,107.4856,2025-11-12T05:14:14.273Z
2025-07-29,31773817003,295519240,107.5186,107.5186,107.5186,2025-11-12T05:14:14.271Z
2025-07-30,31750593257,295212276.7,107.5517,107.5517,107.5517,2025-11-12T05:14:14.270Z
2025-07-31,31756439326,295179734.2,107.5834,107.5834,107.5834,2025-11-12T05:14:14.268Z
2025-08-01,32163135032,298865537,107.6174,107.6174,107.6174,2025-11-12T05:14:14.267Z
2025-08-04,32151612909,298474522.2,107.7198,107.7198,107.7198,2025-11-12T05:14:14.265Z
2025-08-05,31891044449,295961367.5,107.7541,107.7541,107.7541,2025-11-12T05:14:14.264Z
2025-08-06,31137848568,288878239.7,107.7888,107.7888,107.7888,2025-11-12T05:14:14.262Z
2025-08-07,31172183857,289103662.2,107.8236,107.8236,107.8236,2025-11-12T05:14:14.261Z
2025-08-11,31078576465,287863844,107.9628,107.9628,107.9628,2025-11-12T05:14:14.259Z
2025-08-12,31673147927,293277336.4,107.9973,107.9973,107.9973,2025-11-12T05:14:14.258Z
2025-08-13,31201108841,288813487.8,108.032,108.032,108.032,2025-11-12T05:14:14.256Z
2025-08-14,31262846208,289291917.9,108.0668,108.0668,108.0668,2025-11-12T05:14:14.255Z
2025-08-15,31486887843,291271895.7,108.1014,108.1014,108.1014,2025-11-12T05:14:14.253Z
2025-08-18,31625993133,292278399.5,108.205,108.205,108.205,2025-11-12T05:14:14.252Z
2025-08-19,31410609339,290194911.3,108.2397,108.2397,108.2397,2025-11-12T05:14:14.251Z
2025-08-20,31428162986,290264065.2,108.2744,108.2744,108.2744,2025-11-12T05:14:14.249Z
2025-08-21,31842171339,293994402.7,108.3088,108.3088,108.3088,2025-11-12T05:14:14.247Z
2025-08-22,32252086968,297685136.2,108.343,108.343,108.343,2025-11-12T05:14:14.245Z
2025-08-25,32325359214,298079439.7,108.4455,108.4455,108.4455,2025-11-12T05:14:14.244Z
2025-08-26,32492792825,299529290.1,108.4795,108.4795,108.4795,2025-11-12T05:14:14.242Z
2025-08-27,32493004018,299437300.6,108.5135,108.5135,108.5135,2025-11-12T05:14:14.241Z
2025-08-28,32505142498,299455163.4,108.5476,108.5476,108.5476,2025-11-12T05:14:14.239Z
2025-08-29,32724813750,301384731.4,108.5815,108.5815,108.5815,2025-11-12T05:14:14.238Z
2025-09-01,32822401251,302001779.3,108.6828,108.6828,108.6828,2025-11-12T05:14:14.237Z
2025-09-02,32923460967,302837854.5,108.7165,108.7165,108.7165,2025-11-12T05:14:14.235Z
2025-09-03,32919690909,302708974.2,108.7503,108.7503,108.7503,2025-11-12T05:14:14.233Z
2025-09-04,32827461549,301766723.9,108.7842,108.7842,108.7842,2025-11-12T05:14:14.231Z
2025-09-08,32723525219,300434353.3,108.9207,108.9207,108.9207,2025-11-12T05:14:14.229Z
2025-09-09,32854446174,301542498.8,108.9546,108.9546,108.9546,2025-11-12T05:14:14.228Z
2025-09-10,32862629925,301523224.7,108.9887,108.9887,108.9887,2025-11-12T05:14:14.226Z
2025-09-11,32898113796,301754441.3,109.0228,109.0228,109.0228,2025-11-12T05:14:14.225Z
2025-09-12,32961709070,302243485.8,109.0568,109.0568,109.0568,2025-11-12T05:14:14.224Z
2025-09-15,33437767797,306325028.4,109.1578,109.1578,109.1578,2025-11-12T05:14:14.222Z
2025-09-16,33446131603,306306294.8,109.1918,109.1918,109.1918,2025-11-12T05:14:14.221Z
2025-09-17,33690183504,308446751.4,109.2253,109.2253,109.2253,2025-11-12T05:14:14.220Z
2025-09-18,33594506329,307474831.4,109.2594,109.2594,109.2594,2025-11-12T05:14:14.218Z
2025-09-19,33591920979,307355848.4,109.2933,109.2933,109.2933,2025-11-12T05:14:14.217Z
2025-09-22,33630308180,307420811.3,109.395,109.395,109.395,2025-11-12T05:14:14.216Z
2025-09-23,33573009033,306801455.6,109.4291,109.4291,109.4291,2025-11-12T05:14:14.214Z
2025-09-24,33583128481,306798896.8,109.463,109.463,109.463,2025-11-12T05:14:14.213Z
2025-09-25,33665745900,307458751.9,109.4968,109.4968,109.4968,2025-11-12T05:14:14.211Z
2025-09-26,33669881960,307401069.9,109.5308,109.5308,109.5308,2025-11-12T05:14:14.209Z
2025-09-29,33697200511,307364276.6,109.6328,109.6328,109.6328,2025-11-12T05:14:14.207Z
2025-09-30,33709820562,307383637.1,109.6669,109.6669,109.6669,2025-11-12T05:14:14.206Z
2025-10-01,33737155123,307537831.3,109.7008,109.7008,109.7008,2025-11-12T05:14:14.204Z
2025-10-02,33894491852,308877155.7,109.7345,109.7345,109.7345,2025-11-12T05:14:14.202Z
2025-10-03,33942982070,309223700.4,109.7684,109.7684,109.7684,2025-11-12T05:14:14.201Z
2025-10-06,34009451438,309542735.8,109.87,109.87,109.87,2025-11-12T05:14:14.200Z
2025-10-07,33820247292,307724638.7,109.9043,109.9043,109.9043,2025-11-12T05:14:14.198Z
2025-10-08,33712522160,306649248.1,109.9384,109.9384,109.9384,2025-11-12T05:14:14.197Z
2025-10-09,33742216827,306824803.5,109.9723,109.9723,109.9723,2025-11-12T05:14:14.195Z
2025-10-10,34405134557,312759937,110.0049,110.0049,110.0049,2025-11-12T05:14:14.194Z
2025-10-13,34347842716,311951336.9,110.1064,110.1064,110.1064,2025-11-12T05:14:14.193Z
2025-10-15,34354677690,311822047.2,110.174,110.174,110.174,2025-11-12T05:14:14.192Z
2025-10-16,34371188762,311876324.9,110.2078,110.2078,110.2078,2025-11-12T05:14:14.190Z
2025-10-17,34052638845,308889330,110.2422,110.2422,110.2422,2025-11-12T05:14:14.189Z
2025-10-20,34084621121,308894672.8,110.3438,110.3438,110.3438,2025-11-12T05:14:14.187Z
2025-10-21,34053269234,308515152.8,110.3779,110.3779,110.3779,2025-11-12T05:14:14.186Z
2025-10-22,34052997293,308417678.6,110.4119,110.4119,110.4119,2025-11-12T05:14:14.185Z
2025-10-23,33984944152,307705935,110.4462,110.4462,110.4462,2025-11-12T05:14:14.184Z
2025-10-24,33850854283,306396518.9,110.4805,110.4805,110.4805,2025-11-12T05:14:14.182Z
2025-10-27,33748157204,305187029.9,110.5819,110.5819,110.5819,2025-11-12T05:14:14.180Z
2025-10-28,33798318982,305550543.4,110.6145,110.6145,110.6145,2025-11-12T05:14:14.178Z
2025-11-04,33868196869,305550543.4,110.8432,110.8432,110.8432,2025-11-12T05:14:14.177Z
2025-11-05,34001770748,306665632.4,110.8757,110.8757,110.8757,2025-11-12T05:14:14.175Z
2025-11-06,33768823572,304473515.3,110.9089,110.9089,110.9089,2025-11-12T05:14:14.173Z
2025-11-07,33790758231,304581306.5,110.9417,110.9417,110.9417,2025-11-12T05:14:14.171Z
2025-11-10,34144218874,307497363.8,111.0391,111.0391,111.0391,2025-11-12T05:14:14.168Z
2025-11-11,34717202324,312568660.3,111.0706,111.0706,111.0706,2025-11-12T12:58:16.505Z
2025-11-12,34758019385,312844858.7,111.1031,111.1031,111.1031,2025-11-13T09:57:25.546Z
